Word,cgram,freqfilms2,islem,puorth
avenu,ADJ,0.05,1,5
avers,NOM,0,1,5
aveux,NOM,5.29,0,0
avide,ADJ,1.94,1,5
aviez,AUX,50.3,0,0
aviez,VER,44.64,0,0
avili,VER,0.03,0,0
avine,ADJ,0.01,1,5
avion,NOM,105.54,1,5
avisa,VER,0.14,0,0
avise,VER,3.52,0,0
aviso,NOM,0.02,1,5
avise,VER,1.21,0,5
avise,ADJ,0.86,1,5
aviva,VER,0.01,0,0
avive,VER,0,0,0
avive,VER,0.02,0,5
avive,ADJ,0,1,5
avoir,AUX,674.24,1,5
avoir,NOM,2.72,1,5
avoir,VER,404.19,1,5
avons,AUX,291.71,0,0
avons,VER,237.78,0,0
avoua,VER,0.33,0,0
avoue,VER,24.48,0,0
avoue,VER,9.5,0,5
avoue,ADJ,0.12,1,5
avoue,NOM,0.46,1,5
avril,NOM,11.23,1,5
avere,VER,4.59,0,0
avera,VER,0.25,0,0
avere,VER,1.64,0,5
avere,ADJ,0.15,1,5
awacs,NOM,0.12,1,2
axels,NOM,0.01,0,0
axent,VER,0,0,0
axial,ADJ,0.01,1,4
axees,VER,0.13,0,0
ayans,NOM,0,0,0
ayant,AUX,21.68,0,0
ayant,VER,0.9,0,0
ayons,AUX,4.36,0,0
ayons,VER,5.92,0,0
azote,NOM,1.05,1,5
azurs,NOM,0,0,0
azure,VER,0,0,5
azure,ADJ,0.13,1,5
azyme,ADJ,0.04,1,4
azeri,ADJ,0.27,1,3
aedes,NOM,0.01,0,0
aerer,VER,1.68,1,4
aerez,VER,0.32,0,0
aeree,VER,0.02,0,0
aeree,ADJ,0.05,0,0
aeres,VER,0.1,0,0
aeres,ADJ,0.17,0,0
ainee,ADJ,1.25,0,0
ainee,NOM,2.79,0,0
aines,ADJ,0.32,0,0
aines,NOM,1.46,0,0
aitre,NOM,0,1,3
aieul,NOM,1.08,1,4
aieux,NOM,1.75,0,0
aioli,NOM,0.01,1,3
babas,NOM,0.26,0,0
babel,NOM,0.05,1,5
babil,NOM,0.07,1,5
babys,NOM,0.01,0,0
bacon,NOM,4.5,1,4
bader,VER,0.01,1,5
bades,VER,0.02,0,0
badge,NOM,6.03,1,5
badin,ADJ,0.33,1,5
baffe,NOM,1.41,1,5
baffe,VER,0.13,0,5
bagne,NOM,2.49,1,5
bagou,NOM,0.01,1,5
bague,NOM,26.14,1,5
bague,VER,0.07,0,5
bague,VER,0.14,0,5
bague,ADJ,0,1,5
bahts,NOM,0.45,0,0
bahut,NOM,1.5,1,5
